CSS,Venue_Name,URL,Start_URL,clean_html,data_tags_only,Address,Description,Image,Has_Schema,Type,Successful_schema_gen,Notes
article,Cmon Everybody,https://www.cmoneverybody.com/events,https://www.cmoneverybody.com/events,Y,Y,,,,N,Music,N,
article,Friends and Lovers,https://www.fnlbk.com/upcoming,https://www.fnlbk.com/upcoming,N,N,,,,N,Music,Y,issue of strange css auto-get selectors
div.pincard,Sunnys Bar,https://www.sunnysredhook.com/calendar2/,"https://tockify.com/sunnysmusic/pinboard
",N,N,,,,N,Music,Y,
div.event-card,Jalopy Theater,https://jalopytheatre.netlify.app/performances,https://jalopytheatre.netlify.app/performances,N,N,,,,N,Music,Y,
section#card-list,Barbes,https://www.barbesbrooklyn.com/events,https://viewcyembed.com/barbes/000000/FFFCFC/850505,N,N,,,,N,Music,Y,
fluid-columns-repeater,Mathilde,https://www.mathildebrooklyn.com/events-1,https://www.mathildebrooklyn.com/events-1,Y,Y,,,,N,Music,N,"issue of strange css auto-get selectors, still kind of worked, didn’t get the images"
,Young Ethels,https://www.youngethels.com/events,,N,N,,,,N,Music,N,"Is just an image fml, (also all events are in the past so rip)"
div.eventlist,Mama Tried,https://mamatriedbk.com/calendar,https://mamatriedbk.com/upcoming-events,N,N,,,,N,Music,Y,
div#showsList,Brooklyn Steel,https://www.bowerypresents.com/venues/brooklyn-steel,https://www.bowerypresents.com/shows/brooklyn-steel,N,N,,,,N,Music,,
div.collection-list-wrapper-25,National Sawdust,https://www.nationalsawdust.org/performances,https://www.nationalsawdust.org/performances,N,N,,,,N,Music,,
,Skinny Dennis,https://www.skinnydennisbar.com/calendar ,,N,N,,,,N,Music,,site is down right now for some reason but Brooklyn's best and most active Honky Tonk...
,Radegast,https://radegasthall.com/events-2/live-music/,,N,N,,,,N,Music,,No events list on the site
div.ZPYAj,Pete's Candy Store,https://www.petescandystore.com/calendar/,https://www.petescandystore.com/calendar/,N,N,,,,N,Music,,
div.taeeO,Cassette,https://dice.fm/venue/cassette-922xo?lng=en-US,https://dice.fm/venue/cassette-922xo?lng=en-US,N,N,,,,N,Music,,
div.taeeO,Public Records,https://dice.fm/venue/public-records-w2qg,https://dice.fm/venue/public-records-w2qg,N,N,,,,N,Music,,
section#ebhome,Littlefield,https://littlefieldnyc.com/,https://littlefieldnyc.com/all-shows/,N,N,,,,N,Music,,
div.tscCalendarContainer,Threes Brewing Gowanus,https://threesbrewing.com/pages/public-events,https://threesbrewing.com/pages/public-events,N,N,,,,N,Music,,
div.wrapper calendar desktop,Music Hall of Williamsburg,https://www.musichallofwilliamsburg.com/calendar/,https://www.musichallofwilliamsburg.com/calendar/,N,N,,,,N,Music,,
div.list-unstyled,Elsewhere,https://www.elsewhere.club/events,https://www.elsewhere.club/events?view=list,N,N,,,,N,Music,,
div.MuiGrid-container,Kings Theater,https://www.kingstheatre.com/events/,https://www.kingstheatre.com/events/,N,N,,,,N,Music,,
section[data-automation = “shows-grid”],Brooklyn Paramount,https://www.brooklynparamount.com/shows,https://www.brooklynparamount.com/shows,N,N,,,,N,Music,,
div.eventList__wrapper list,Brooklyn Bowl,https://www.brooklynbowl.com/brooklyn/shows/all,https://www.brooklynbowl.com/brooklyn/shows/all,N,N,,,,N,Music,,
ul#cal,The Owl Music Parlor,https://theowl.nyc/calendar/,https://theowl.nyc/calendar/,N,N,,,,N,Music,,
div.gallery-grid-wrapper,Lucky 13 Saloon,https://www.lucky13saloon.com/events,https://www.lucky13saloon.com/events,N,N,,,,N,Music,,
div.dice_events,Saint Vitus,https://www.saintvitusbar.com/events,https://www.saintvitusbar.com/events,N,N,,,,N,Music,,
div.dice_events,The Sultan Room,https://thesultanroom.com/,https://thesultanroom.com/,N,N,,,,N,Music,,
div.calendar-section,Brooklyn Music Kitchen,https://brooklynmusickitchen.com/calendar/,https://brooklynmusickitchen.com/calendar/,N,N,,,,N,Music,,
div.summary-item-list,Bar Lunatico,https://www.barlunatico.com/calendar?view=calendar&month=05-2025,https://www.barlunatico.com/music,N,N,,,,N,Music,,
div.box-container,Babys All Right,https://www.seetickets.us/profile/name/6066969,https://www.seetickets.us/profile/name/6066969,N,N,,,,N,Music,,
div.dice_events,Union Pool,https://www.union-pool.com/calendar,https://www.union-pool.com/calendar,N,N,,,,N,Music,,
div.stm-schedule-group-inner,St. Mazie,https://www.stmazie.com/live-music/,https://www.stmazie.com/live-music/,N,N,,,,N,Music,,
section[data-automation = “shows-grid”],The Bell House,https://www.thebellhouseny.com/shows,https://www.thebellhouseny.com/shows,N,N,,,,N,Music,,
,Sisters,https://www.sistersbklyn.com/calendar/,,N,N,,,,N,Music,,No events list on the site
div. et_pb_code_inner,Barge Music,https://www.bargemusic.org/calendar-tickets/,https://www.bargemusic.org/calendar-tickets/,N,N,,,,N,Music,,
div.eventlist,Freddy's Bar,https://www.freddysbar.com/events,https://www.freddysbar.com/events,N,N,,,,N,Music,,
div.dice_events,Sleepwalk,https://sleepwalk.nyc/events,https://sleepwalk.nyc/events,N,N,,,,N,Music,,
div.tribe-events-calendar-list,Shapeshifter Lab,https://shapeshifterplus.org/events/,https://shapeshifterplus.org/events/,N,N,,,,N,Music,,
div.eventlist,Lowlands Bar,https://www.lowlandsbar.com/events,https://www.lowlandsbar.com/events,N,N,,,,N,Music,,
div.dice_events,Our Wicked Lady,https://www.ourwickedlady.com/,https://www.ourwickedlady.com/,N,N,,,,N,Music,,
div.seetickets-list-events,Murmrr,https://murmrr.com/,https://murmrr.com/,N,N,,,,N,Music,,
